X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.06197903,38.94114768,30373250,38.941139,-77.061977,Connecticut Ave & Tilden St NW,classic,314,active,2021/11/07 22:11:00+00,11,0,3,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.19644886,39.10310089,30373251,39.103091,-77.196442,Medical Center Dr & Key West Ave,classic,315,active,2021/11/07 04:24:25+00,11,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",43,2021/11/07 23:02:59+00,,"Montgomery County, MD (North)"
-77.19664187,39.09764172,30373252,39.097636,-77.196636,Shady Grove Hospital,classic,316,active,2021/11/07 04:24:25+00,15,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",43,2021/11/07 23:02:59+00,,"Montgomery County, MD (North)"
-77.0238983,38.99745417,30373253,38.997445,-77.023894,Veterans Pl & Pershing Dr ,classic,317,active,2021/11/07 17:13:18+00,7,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",44,2021/11/07 23:02:59+00,,"Montgomery County, MD (South)"
-77.14580951,39.08540206,30373254,39.085394,-77.145803,Rockville Metro East,classic,318,active,2021/11/07 04:24:25+00,11,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,13,"KEY,CREDITCARD",43,2021/11/07 23:02:59+00,,"Montgomery County, MD (North)"
-77.01210695,38.90036478,30373255,38.900358,-77.012108,1st & H St NW,classic,319,active,2021/11/07 22:58:00+00,11,0,3,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.00272494,38.95237939,30373256,38.952369,-77.002721,Fort Totten Metro,classic,320,active,2021/11/07 22:43:07+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.01686276,38.97522314,30373257,38.975219,-77.016855,Takoma Metro,classic,321,active,2021/11/07 21:48:57+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-76.99587399,38.92068816,30373258,38.920682,-76.995876,Rhode Island Ave Metro,classic,322,active,2021/11/07 20:26:16+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.0761333,38.86647806,30373259,38.866471,-77.076131,Rolfe St & 9th St S,classic,323,active,2021/11/07 16:34:22+00,4,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.08866106,38.84066005,30373260,38.840654,-77.088659,S Randolph St & Campbell Ave,classic,324,active,2021/11/07 19:59:43+00,11,0,4,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.16609358,39.11977657,30373261,39.119765,-77.166093,Shady Grove Metro West,classic,325,active,2021/11/07 20:55:54+00,18,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",43,2021/11/07 23:02:59+00,,"Montgomery County, MD (North)"
-77.10337761,38.96499934,30373262,38.964992,-77.103381,River Rd & Landy Ln,classic,326,active,2021/11/07 18:23:06+00,13,0,6,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/11/07 23:02:59+00,,"Montgomery County, MD (South)"
-77.094542,38.98469882,30373263,38.984691,-77.094537,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,classic,328,active,2021/11/07 21:12:16+00,6,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",44,2021/11/07 23:02:59+00,,"Montgomery County, MD (South)"
-77.07130564,38.88992997,30373264,38.88992,-77.071301,Iwo Jima Memorial / Meade & 14th St N,classic,329,active,2021/11/07 17:20:34+00,6,0,13,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.06752647,38.90374204,30373265,38.903732,-77.067529,34th & Water St NW,classic,330,active,2021/11/07 19:50:08+00,12,0,7,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.06087026,38.80438269,30373266,38.804378,-77.060866,Duke St & John Carlyle St,classic,331,active,2021/11/07 18:36:01+00,10,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2021/11/07 23:02:59+00,,"Alexandria, VA"
-77.09169107,38.89495143,30373267,38.894941,-77.09169,Langston Blvd & N Cleveland St,classic,332,active,2021/11/07 22:07:10+00,10,0,5,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.10450675,38.86944691,30373268,38.869442,-77.104503,Arlington Blvd & S George Mason Dr,classic,333,active,2021/11/07 04:24:21+00,12,0,2,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.02623981,38.8982545,30373269,38.898243,-77.026235,10th & G St NW,classic,334,active,2021/11/07 22:29:47+00,19,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.08085835,38.8976169,30373270,38.897612,-77.080851,Langston Blvd & N Scott St,classic,335,active,2021/11/07 18:36:16+00,1,0,14,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.05108498,38.90175954,30373271,38.901755,-77.051084,New Hampshire Ave & 24th St NW,classic,336,active,2021/11/07 22:39:47+00,11,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.06894907,38.80111712,30373272,38.801111,-77.068952,Eisenhower Ave & Mill Race Ln,classic,337,active,2021/11/07 19:58:00+00,2,0,12,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2021/11/07 23:02:59+00,,"Alexandria, VA"
